,1,4,5
0,-20.0,-20.0,-20.0
1,-40.0,-40.0,-40.0
2,-50.0,-50.0,-50.0
3,-40.0,-40.0,-40.0
4,-40.0,-40.0,-40.0
5,-10.0,-10.0,-10.0
6,-40.0,-40.0,-40.0
7,-40.0,-40.0,-40.0
8,-20.0,-20.0,-20.0
9,-50.0,-50.0,-50.0
10,-20.0,-20.0,-20.0
11,-50.0,-50.0,-50.0
12,-40.0,-40.0,-40.0
13,-40.0,-40.0,-40.0
14,-20.0,-20.0,-20.0
15,-20.0,-20.0,-20.0
16,-40.0,-40.0,-40.0
17,-30.0,-30.0,-30.0
18,81.40000000000018,81.40000000000018,81.40000000000018
19,89.8000000000001,89.8000000000001,89.8000000000001
20,92.20000000000007,92.20000000000007,92.20000000000007
21,79.6000000000002,79.6000000000002,79.6000000000002
22,91.00000000000009,91.00000000000009,91.00000000000009
23,87.40000000000012,87.40000000000012,87.40000000000012
24,85.00000000000014,85.00000000000014,85.00000000000014
25,92.80000000000007,92.80000000000007,92.80000000000007
26,85.60000000000014,85.60000000000014,85.60000000000014
